Date,VTI,SPY,EFA,EEM,TLT,IEF,LQD
2004-02-19,37.2974,76.698,25.6731,12.5142,42.7477,47.6741,46.4374
2004-02-20,37.1831,76.465,25.3595,12.3737,42.4512,47.5138,46.211
2004-02-23,36.9342,76.272,25.4312,12.2657,42.7137,47.6686,46.3386
2004-02-24,36.951,76.1389,25.3326,12.2009,42.7915,47.7515,46.3839
2004-02-25,37.1494,76.4583,25.1444,12.3341,42.8595,47.8068,46.4169
2004-02-26,37.2032,76.5049,25.1534,12.3953,42.7234,47.7349,46.4497
2004-02-27,37.257,76.5582,25.3595,12.5711,43.0928,47.9229,46.5856
2004-03-01,37.6203,77.317,25.7,12.8577,43.0762,47.9733,46.5711
2004-03-02,37.4824,76.8644,25.2878,12.7555,42.803,47.6961,46.4802
2004-03-03,37.5026,77.0041,25.234,12.6762,42.7249,47.6517,46.4596
2004-03-04,37.6708,77.2038,25.3147,12.7627,42.9152,47.8015,46.5339
2004-03-05,37.7885,77.4634,25.6104,12.8095,43.7448,48.3947,47.0299
2004-03-08,37.442,76.5182,25.4455,12.687,44.0034,48.6664,47.1621
2004-03-09,37.247,76.2121,25.2699,12.6042,44.2962,48.8494,47.2572
2004-03-10,36.581,74.9341,24.8648,12.3161,44.267,48.8439,47.4101
2004-03-11,36.1135,73.9623,24.4616,12.0496,44.3304,48.8494,47.2076
2004-03-12,36.6247,74.9341,24.6766,12.1505,44.0571,48.6997,47.1539
2004-03-15,36.0698,74.0155,24.2573,11.9236,44.1303,48.7274,47.2076
2004-03-16,36.2682,74.4082,24.4813,12.0712,44.4963,48.9659,47.4225
2004-03-17,36.6583,75.2403,24.9921,12.2369,44.4231,48.9326,47.4473
2004-03-18,36.6146,75.2603,24.9831,12.3089,44.1889,48.7773,47.2489
2004-03-19,36.1908,74.1815,24.6605,12.1469,44.1303,48.7108,47.1745
2004-03-22,35.7301,73.2397,24.3397,11.9524,44.3987,48.8938,47.3564
2004-03-23,35.6897,73.1128,24.5261,12.0727,44.4768,48.9659,47.4431
2004-03-24,35.6527,73.1729,24.4293,12.082,44.4524,48.9326,47.3977
2004-03-25,36.1572,74.1415,24.8935,12.2002,44.2816,48.8661,47.2696
2004-03-26,36.2446,74.1615,24.786,12.1778,43.8131,48.5556,46.9183
2004-03-29,36.6057,75.2035,25.1444,12.3341,43.5203,48.3504,46.9926
2004-03-30,36.8082,75.4573,25.1982,12.4854,43.4911,48.367,46.877
2004-03-31,36.8757,75.5442,25.3774,12.6402,43.7009,48.5445,47.0464
2004-04-01,37.0646,75.9983,25.7143,12.7432,43.5578,48.4255,47.0261
2004-04-02,37.4021,76.5727,25.7878,12.8707,42.48,47.5301,46.2918
2004-04-05,37.6484,76.9936,25.7878,12.9607,42.1469,47.2965,46.0595
2004-04-06,37.5472,76.7464,25.7089,13.0327,42.3771,47.4634,46.2752
2004-04-07,37.392,76.5661,25.7484,12.9859,42.2792,47.4689,46.2877
2004-04-08,37.338,76.3924,25.6946,12.9967,42.1567,47.38,46.3333
2004-04-12,37.4561,76.693,25.8613,13.0968,42.0048,47.2298,46.0512
